tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
LSHVd	strmgCAMI2_long_read_sample_78	0.05183242265305145	0.6441389226443285	0.3379785046293356	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.8514029884320198	0.529006420101267	0.16962373672114067	0.05183242265305145	0.6441389226443285	0.34453658503397194	1.0	0.5	0.6666666666666666	4.0	4.0	0.0	8.0	0.5	0.8959538838469334	0.43086274169705907	0.1722683786511753
LSHVd	strmgCAMI2_long_read_sample_97	0.0549114590490653	0.6398079029045098	0.4344720419848458	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.7534855894110002	0.46816691938829436	0.2182985771477587	0.0549114590490653	0.6398079029045098	0.443270930495975	1.0	0.4444444444444444	0.6153846153846153	4.0	5.0	0.0	9.0	0.4444444444444444	0.8117602832617528	0.3694480262212801	0.22163546524798747
LSHVd	strmgCAMI2_long_read_sample_96	0.049650511500806835	0.7066162550775938	0.3241934630327008	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.9540057960350934	0.5927571288489552	0.1627161401124228	0.049650511500806835	0.7066162550775938	0.3300988269638319	1.0	0.5714285714285714	0.7272727272727273	4.0	3.0	0.0	7.0	0.5714285714285714	0.995961967765722	0.5118232042981197	0.16504941348191596
LSHVd	strmgCAMI2_long_read_sample_95	0.0526005584840132	0.6110064867411681	0.3652456414221006	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	0.9355262148032286	0.5221271218989466	0.18338925289336794	0.0526005584840132	0.6110064867411681	0.37297717029143695	1.0	0.4444444444444444	0.6153846153846153	4.0	5.0	0.0	9.0	0.4444444444444444	0.9843262413758979	0.4479861783492494	0.18648867839005762
LSHVd	strmgCAMI2_long_read_sample_94	0.050799216401464016	0.6745942368571072	0.34853883769667804	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	0.8988947594409984	0.5016827173952483	0.1748513458664089	0.050799216401464016	0.6745942368571072	0.3508940863539176	1.0	0.5	0.6666666666666666	4.0	4.0	0.0	8.0	0.5	0.9365095571813756	0.4503658979635633	0.17544695545348107
LSHVd	strmgCAMI2_long_read_sample_93	0.05569372458664291	0.6666235257894062	0.36416629984809196	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.7027657250645607	0.436652895793727	0.18277482917643015	0.05569372458664291	0.6666235257894062	0.37173594872059595	0.75	0.42857142857142855	0.5454545454545454	3.0	4.0	1.0	7.0	0.375	0.7447527531190998	0.3827272053032136	0.1858678814263573
LSHVd	strmgCAMI2_long_read_sample_92	0.0500130575508543	0.6540516166294308	0.27628932954886815	0.75	1.0	0.8571428571428571	3.0	0.0	1.0	3.0	0.75	0.5781151319736996	0.5262230706290123	0.13875481003085124	0.0500130575508543	0.6540516166294308	0.28508391124706667	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.6243610932692002	0.3879373590279862	0.14254195562353333
LSHVd	strmgCAMI2_long_read_sample_91	0.05359449381022339	0.6544671009981917	0.33796128470842496	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.7408146597418456	0.4602940281315007	0.16961704807283123	0.05359449381022339	0.6544671009981917	0.34546531482626397	0.75	0.42857142857142855	0.5454545454545454	3.0	4.0	1.0	7.0	0.375	0.7825152485145234	0.4021332890906671	0.17273265741313196
LSHVd	strmgCAMI2_long_read_sample_90	0.05384604455385283	0.6929477611787159	0.3686022026055642	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.8584824929018742	0.5334051635477585	0.1851323962536386	0.05384604455385283	0.6929477611787159	0.3775807480711736	1.0	0.5	0.6666666666666666	4.0	4.0	0.0	8.0	0.5	0.9101760823174325	0.43770217343170165	0.18879037403558685
LSHVd	strmgCAMI2_long_read_sample_9	0.04308663051928189	0.831814431287333	0.27956942373793864	0.75	0.42857142857142855	0.5454545454545454	3.0	4.0	1.0	7.0	0.375	1.0787854895660705	0.5543860748605436	0.1400650970952486	0.04308663051928189	0.831814431287333	0.2758690653602138	1.0	0.5	0.6666666666666666	4.0	4.0	0.0	8.0	0.5	1.1008877970331405	0.5294151217849625	0.1379345326801069
LSHVd	strmgCAMI2_long_read_sample_89	0.048189500314572926	0.8201902580439474	0.14242412702205687	0.75	1.0	0.8571428571428571	3.0	0.0	1.0	3.0	0.75	0.396436935474634	0.36085244955274426	0.07146269364072684	0.048189500314572926	0.8201902580439474	0.14943841984898104	0.75	0.75	0.75	3.0	1.0	1.0	4.0	0.6	0.43122646276900656	0.3110641396684675	0.07471920992449052
LSHVd	strmgCAMI2_long_read_sample_88	0.05235713213553825	0.7235406844358082	0.3065538404420314	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.782304138150938	0.4860728904837266	0.15387392400105898	0.05235713213553825	0.7235406844358082	0.31431348891943284	0.75	0.42857142857142855	0.5454545454545454	3.0	4.0	1.0	7.0	0.375	0.8251705857145588	0.4240537961709881	0.15715674445971642
LSHVd	strmgCAMI2_long_read_sample_87	0.04904569140412049	0.6568324856378459	0.3160383581724692	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.9638204643321535	0.5988553251330333	0.15862990821243889	0.04904569140412049	0.6568324856378459	0.3217074083469469	1.0	0.5714285714285714	0.7272727272727273	4.0	3.0	0.0	7.0	0.5714285714285714	1.0062801218399795	0.5171256865731962	0.16085378460036573
LSHVd	strmgCAMI2_long_read_sample_86	0.04092937310077435	0.8953406886735367	0.3206103423842738	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	0.932921586083163	0.5206734509320574	0.16083409922581807	0.04092937310077435	0.8953406886735367	0.32579665448695805	1.0	0.5714285714285714	0.7272727272727273	4.0	3.0	0.0	7.0	0.5714285714285714	0.9659628270927189	0.49640669563374634	0.1628984086926834
LSHVd	strmgCAMI2_long_read_sample_85	0.047978036221098454	0.7674217744353407	0.34074390712403213	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.9808878623976889	0.6094598957931856	0.17116804356764592	0.047978036221098454	0.7674217744353407	0.3434785891385648	1.0	0.5714285714285714	0.7272727272727273	4.0	3.0	0.0	7.0	0.5714285714285714	1.0304416472459654	0.529542254428457	0.17173920869967807
LSHVd	strmgCAMI2_long_read_sample_84	0.05172419922431113	0.6406604974816122	0.35819114748759256	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.8469701677321246	0.5262521537417831	0.1799696584819975	0.05172419922431113	0.6406604974816122	0.36382257478984736	1.0	0.5	0.6666666666666666	4.0	4.0	0.0	8.0	0.5	0.90229694362135	0.43391310865726346	0.18191128739492363
LSHVd	strmgCAMI2_long_read_sample_83	0.049751311507563935	0.7300487691298443	0.3481143064232895	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.8972168107784004	0.5574721484107811	0.17486221835547658	0.049751311507563935	0.7300487691298443	0.3573123005961095	1.0	0.5	0.6666666666666666	4.0	4.0	0.0	8.0	0.5	0.9501132910815575	0.4569079111086851	0.1786561502980548
LSHVd	strmgCAMI2_long_read_sample_82	0.04664834471019766	0.8061116089244676	0.3225875622782348	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	1.0827613946548076	0.6043006403762969	0.1616609627240121	0.04664834471019766	0.8061116089244676	0.32602217514788073	1.0	0.5714285714285714	0.7272727272727273	4.0	3.0	0.0	7.0	0.5714285714285714	1.1072653973483044	0.569021852260677	0.16301108757394034
LSHVd	strmgCAMI2_long_read_sample_81	0.04948312002493975	0.7072157318008103	0.3826098609749764	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.9828700003011743	0.6106914673177358	0.1921926908245355	0.04948312002493975	0.7072157318008103	0.3918470930142767	0.75	0.42857142857142855	0.5454545454545454	3.0	4.0	1.0	7.0	0.375	1.0320533387039035	0.5303704999971028	0.1959236444689606
LSHVd	strmgCAMI2_long_read_sample_80	0.04731573762939725	0.8071789258770491	0.3317797956913296	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	1.0623152457485885	0.592889427399687	0.16649554202835692	0.04731573762939725	0.8071789258770491	0.33810699567943453	1.0	0.5	0.6666666666666666	4.0	4.0	0.0	8.0	0.5	1.1031714080750086	0.5305133065601033	0.16905349783971724
LSHVd	strmgCAMI2_long_read_sample_8	0.0530496358770589	0.7239553464101021	0.34198916541270846	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.7362260041822322	0.45744293612965176	0.17170121251538745	0.0530496358770589	0.7239553464101021	0.35022008933783705	0.75	0.42857142857142855	0.5454545454545454	3.0	4.0	1.0	7.0	0.375	0.7812869902749635	0.4015020892173553	0.17511004466891847
LSHVd	strmgCAMI2_long_read_sample_79	0.05333173404710326	0.6474547306955147	0.3691182773881802	0.75	0.5	0.6	3.0	3.0	1.0	6.0	0.42857142857142855	0.9111478984314773	0.508521324474444	0.1854593187269665	0.05333173404710326	0.6474547306955147	0.37864785141633306	1.0	0.4444444444444444	0.6153846153846153	4.0	5.0	0.0	9.0	0.4444444444444444	0.9663727502095892	0.43981519239201317	0.18932392570816653
LSHVd	strmgCAMI2_long_read_sample_77	0.052346340354264706	0.6397063446152589	0.3482176538085976	0.75	0.6	0.6666666666666665	3.0	2.0	1.0	5.0	0.5	0.8653477727146168	0.5376708017309423	0.17469199246938963	0.052346340354264706	0.6397063446152589	0.354798154051653	1.0	0.5714285714285714	0.7272727272727273	4.0	3.0	0.0	7.0	0.5714285714285714	0.9030931817065084	0.46409808908439876	0.17739907702582647
