tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance	Weighted UniFrac error (unfiltered)	Unweighted UniFrac error (unfiltered)	L1 norm error (unfiltered)	Completeness (unfiltered)	Purity (unfiltered)	F1 score (unfiltered)	True positives (unfiltered)	False positives (unfiltered)	False negatives (unfiltered)	Taxon counts (unfiltered)	Jaccard index (unfiltered)	Shannon diversity (unfiltered)	Shannon equitability (unfiltered)	Bray-Curtis distance (unfiltered)
Bracken	marmgCAMI2_short_read_sample_0	0.05265053141825149	0.9783356508350135	1.455721369295	0.918918918918919	0.5819070904645477	0.7125748502994013	238.0	171.0	21.0	409.0	0.5534883720930233	4.475373486418782	0.74419445721864	0.7315094955357229	0.05265053141825149	0.9783356508350135	1.4656103972280337	0.9305019305019305	0.19609438567941415	0.32392473118279574	241.0	988.0	18.0	1229.0	0.19326383319967924	4.587586840758121	0.6448714006808756	0.7328051986140139
Bracken	marmgCAMI2_short_read_sample_8	0.05229294360605227	0.435014926384742	1.3706840367366917	0.9166666666666666	0.7453271028037384	0.8221649484536083	319.0	109.0	29.0	428.0	0.6980306345733042	4.714517669105336	0.7780857917764533	0.6887758000448051	0.05229294360605227	0.435014926384742	1.3805897938791158	0.9281609195402298	0.3289205702647658	0.4857142857142857	323.0	659.0	25.0	982.0	0.32075471698113206	4.821279016907622	0.6997917294544359	0.6902948969395535
Bracken	marmgCAMI2_short_read_sample_7	0.05302427487928294	0.645680079515298	1.3705871805597247	0.9228070175438596	0.6247030878859857	0.7450424929178471	263.0	158.0	22.0	421.0	0.5936794582392777	4.660337604233797	0.7712428890692317	0.6887363039685447	0.05302427487928294	0.645680079515298	1.3805094440190269	0.9298245614035088	0.2560386473429952	0.40151515151515155	265.0	770.0	20.0	1035.0	0.25118483412322273	4.769318776434915	0.6870082279357556	0.690254722009508
Bracken	marmgCAMI2_short_read_sample_6	0.050484309281844594	0.5707111320864232	1.2979624011776594	0.9240121580547113	0.6594360086767896	0.769620253164557	304.0	157.0	25.0	461.0	0.6255144032921811	4.831313787715095	0.787705893836725	0.6522344444625269	0.050484309281844594	0.5707111320864232	1.3078504158430178	0.9331306990881459	0.2821691176470588	0.4333098094565985	307.0	781.0	22.0	1088.0	0.2765765765765766	4.940331897894574	0.706559463128057	0.6539252079215137
Bracken	marmgCAMI2_short_read_sample_5	0.049065556830397095	0.5336795678299445	1.244198376099763	0.9281437125748503	0.7045454545454546	0.8010335917312662	310.0	130.0	24.0	440.0	0.6681034482758621	4.62912662384491	0.7605220878928716	0.6252239258856922	0.049065556830397095	0.5336795678299445	1.2541007996500262	0.937125748502994	0.2947269303201507	0.4484240687679083	313.0	749.0	21.0	1062.0	0.28901200369344415	4.738156155597295	0.679996828083239	0.6270503998250141
Bracken	marmgCAMI2_short_read_sample_4	0.052955510803078386	0.8513577939172315	1.3616273431272667	0.9285714285714286	0.5148514851485149	0.6624203821656051	260.0	245.0	20.0	505.0	0.49523809523809526	4.597243677569058	0.7385654307536562	0.6842322560212829	0.052955510803078386	0.8513577939172315	1.3715669035112221	0.9357142857142857	0.2192468619246862	0.35525423728813565	262.0	933.0	18.0	1195.0	0.2159934047815334	4.707530279780492	0.6643516429708002	0.6857834517556056
Bracken	marmgCAMI2_short_read_sample_3	0.05068762264936791	0.4735963478467074	1.3545050797248224	0.9244791666666666	0.6826923076923077	0.7853982300884955	355.0	165.0	29.0	520.0	0.6466302367941712	4.950024738554019	0.7915190657908338	0.6806532796064153	0.05068762264936791	0.4735963478467074	1.3643504119687102	0.9348958333333334	0.31353711790393013	0.4695879659908438	359.0	786.0	25.0	1145.0	0.30683760683760686	5.059027176186377	0.7182894093746361	0.6821752059843474
Bracken	marmgCAMI2_short_read_sample_2	0.052346991231218	0.6296735473332417	1.3926493765919228	0.9386281588447654	0.6666666666666666	0.7796101949025488	260.0	130.0	17.0	390.0	0.6388206388206388	4.757107869297906	0.7973501285348256	0.6998208791995363	0.052346991231218	0.6296735473332417	1.4025871981164988	0.9458483754512635	0.2606965174129353	0.40873634945397813	262.0	743.0	15.0	1005.0	0.2568627450980392	4.865641459152612	0.7038655401338194	0.7012935990582418
Bracken	marmgCAMI2_short_read_sample_1	0.050190742482471566	0.6370800874426137	1.3212491867457827	0.9141914191419142	0.6907730673316709	0.7869318181818182	277.0	124.0	26.0	401.0	0.6487119437939111	4.832044575123937	0.8061520971941342	0.6639364457696115	0.050190742482471566	0.6370800874426137	1.3311059310623166	0.9273927392739274	0.2587476979742173	0.40460763138948885	281.0	805.0	22.0	1086.0	0.2536101083032491	4.941842550078923	0.7069615470805354	0.6655529655311511
Bracken	marmgCAMI2_short_read_sample_9	0.05115861790246729	0.9843526389354327	1.3243303260902537	0.9416058394160584	0.47513812154696133	0.6315789473684211	258.0	285.0	16.0	543.0	0.46153846153846156	4.69591426748276	0.7457253842834709	0.665487822072581	0.05115861790246729	0.9843526389354327	1.3343159604392425	0.9416058394160584	0.1970970206264324	0.3259633607075174	258.0	1051.0	16.0	1309.0	0.19471698113207547	4.807467896297884	0.6698419013661858	0.6671579802196121
