tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
MP	marmgCAMI2_short_read_sample_8	0.05300111206354934	0.4838390200452414	0.08556925570987739	0.8666666666666667	0.9285714285714286	0.896551724137931	26.0	2.0	4.0	28.0	0.8125	1.7086969018520894	0.5127827228594226	0.04278462785493869
MP	marmgCAMI2_short_read_sample_9	0.05264337792407102	0.4813066681055848	0.15564373897439301	0.8620689655172413	0.9615384615384616	0.9090909090909091	25.0	1.0	4.0	26.0	0.8333333333333334	1.8555574710755693	0.5695219430798016	0.07782186948719653
MP	marmgCAMI2_short_read_sample_1	0.05217458429331986	0.44749355626941645	0.09943022571504705	0.9032258064516129	0.9333333333333333	0.9180327868852459	28.0	2.0	3.0	30.0	0.8484848484848485	1.9256877276282953	0.5661793514280601	0.04971511285752352
MP	marmgCAMI2_short_read_sample_2	0.05341294033622861	0.4472601910334705	0.09632738897004947	0.8928571428571429	0.8928571428571429	0.8928571428571429	25.0	3.0	3.0	28.0	0.8064516129032258	1.820296819772876	0.546274039967963	0.04816369448502475
MP	marmgCAMI2_short_read_sample_3	0.05260819024708122	0.48562131584267076	0.10361158361658415	0.8709677419354839	0.9310344827586207	0.9	27.0	2.0	4.0	29.0	0.8181818181818182	1.9541130963443896	0.5803211820424578	0.051805791808292055
MP	marmgCAMI2_short_read_sample_0	0.0560492073021647	0.4533326370568207	0.16178445059371288	0.84	0.9545454545454546	0.8936170212765958	21.0	1.0	4.0	22.0	0.8076923076923077	1.638978730309693	0.5302349466371762	0.08089222529685645
MP	marmgCAMI2_short_read_sample_5	0.052156259736988904	0.472380704208166	0.15061130024526645	0.896551724137931	0.9285714285714286	0.912280701754386	26.0	2.0	3.0	28.0	0.8387096774193549	1.926696625321842	0.578204794885335	0.07530565012263322
MP	marmgCAMI2_short_read_sample_6	0.052301651915930863	0.4851016962857447	0.11509551836960062	0.9	0.9310344827586207	0.9152542372881356	27.0	2.0	3.0	29.0	0.84375	1.9035974606008974	0.5653193413091192	0.0575477591848003
MP	marmgCAMI2_short_read_sample_7	0.05405726140416144	0.47471458437204206	0.10205442961519946	0.8928571428571429	0.9615384615384616	0.9259259259259259	25.0	1.0	3.0	26.0	0.8620689655172413	1.8062621144734041	0.5543918338191042	0.051027214807599724
mOTUv1	marmgCAMI2_short_read_sample_0	0.05053015404355065	0.7668276024702957	0.1808244426067528	0.8	0.7692307692307693	0.7843137254901961	20.0	6.0	5.0	26.0	0.6451612903225806	1.8381480047520509	0.5641784960332354	0.0904122213033764
