tool	sample	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
LSHVd	strmgCAMI2_long_read_sample_56	0.04200552024785096	0.8531783686886496	0.7869021536711358	0.4166666666666667	0.10638297872340426	0.1694915254237288	5.0	42.0	7.0	47.0	0.09259259259259259	2.440701313780093	0.6339240897403636	0.4072849163027056
LSHVd	strmgCAMI2_long_read_sample_75	0.05009545133527837	0.6666291198303357	1.1829889258512793	0.5833333333333334	0.06086956521739131	0.11023622047244094	7.0	108.0	5.0	115.0	0.058333333333333334	3.8045752927560024	0.8018186962072267	0.5959674969741794
LSHVd	strmgCAMI2_long_read_sample_55	0.05096440539282103	0.7267468095913916	1.065194916841149	0.5833333333333334	0.07692307692307693	0.13592233009708737	7.0	84.0	5.0	91.0	0.07291666666666667	3.4783405284493347	0.771103716137505	0.5804816826644025
LSHVd	strmgCAMI2_long_read_sample_76	0.04990040276788956	0.6462176000474054	1.2267010916248813	0.75	0.0743801652892562	0.13533834586466167	9.0	112.0	3.0	121.0	0.07258064516129033	3.9099604001705925	0.8152900680286227	0.6342523313935142
LSHVd	strmgCAMI2_long_read_sample_78	0.05183242265305148	0.6441389226443285	1.2546958257402303	0.5	0.05128205128205128	0.09302325581395347	6.0	111.0	6.0	117.0	0.04878048780487805	3.858153687046933	0.8101664785603393	0.6512281225084386
LSHVd	strmgCAMI2_long_read_sample_97	0.054911459049065324	0.6398079029045101	1.326270972150369	0.5833333333333334	0.06086956521739131	0.11023622047244094	7.0	108.0	5.0	115.0	0.058333333333333334	3.803789539821653	0.801653097856588	0.6703782527175445
LSHVd	strmgCAMI2_long_read_sample_96	0.04965051150080686	0.7066162550775938	1.1834992441616627	0.6666666666666666	0.0898876404494382	0.15841584158415842	8.0	81.0	4.0	89.0	0.08602150537634409	3.5461718368344313	0.7900332182724906	0.6078669092460351
LSHVd	strmgCAMI2_long_read_sample_95	0.0526005584840132	0.6110064867411681	1.254498427959296	0.5833333333333334	0.06306306306306306	0.1138211382113821	7.0	104.0	5.0	111.0	0.0603448275862069	3.806537164499911	0.8082626083253911	0.6365608257385509
LSHVd	strmgCAMI2_long_read_sample_94	0.05079921640146399	0.674594236857107	1.218724938672505	0.5	0.05825242718446602	0.10434782608695653	6.0	97.0	6.0	103.0	0.05504587155963303	3.6961735968955076	0.7974950868286614	0.6464101757383446
LSHVd	strmgCAMI2_long_read_sample_93	0.05569372458664287	0.6666235257894063	1.5226338589767148	0.5	0.05714285714285714	0.10256410256410256	6.0	99.0	6.0	105.0	0.05405405405405406	3.9621332239924114	0.8513465792329548	0.7739579852616358
