	0
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.70etoh.freezethaw.1week.II')	3.921903115042629
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.95etoh.4C.4weeks.II')	5.855345219469359
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.95etoh.amb.4weeks.II')	3.809978714665267
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.95etoh.freezethaw.1week.II')	5.972714474029537
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.FTA.4C.1week.II')	3.7499371130935004
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.FTA.4C.4weeks.II')	3.790721246644989
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.FTA.amb.1week.II')	3.5409535568082333
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.FTA.amb.4weeks.II')	3.4272448656932113
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.FTA.heat.1week.II')	3.7751018040815563
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.None.4C.1week.II')	6.329024756181605
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.None.4C.4weeks.II')	3.899740250084686
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.None.amb.4weeks.II')	4.4005142706367035
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.None.freezethaw.1week.II')	8.756723287620966
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.Omni.4C.1week.II')	6.496278850198056
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.Omni.4C.4weeks.II')	3.416624219243137
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.Omni.amb.1week.II')	3.5907951019878164
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.Omni.amb.4weeks.II')	6.541308039190799
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.Omni.freezethaw.1week.II')	3.6102098817877613
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.Omni.heat.1week.II')	3.4296127857736867
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.RNA.4C.4weeks.II')	3.7475380888570733
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.RNA.amb.4weeks.II')	3.6490514910232092
('10394.H1.95etoh.4C.4weeks.II', '10394.H10.RNA.freezethaw.1week.II')	3.6664562681882606
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.95etoh.freezethaw.1week.II')	2.1773223671730975
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.FTA.4C.1week.II')	1.0579315081014393
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.FTA.4C.4weeks.II')	2.373033506249683
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.FTA.amb.1week.II')	2.518135691080227
('10394.H1.95etoh.amb.4weeks.II', '10394.H1.FTA.amb.4weeks.II')	1.3649315166556544
